tahun,Bln_Thn,Akun,Keterangan,Kredit_Rp,Status,Tgl,No_Bukti,Debet,Kredit,Saldo,Aksi,Modul,ID,Data,Dihapus_Pada
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,akuntansi,MR-AI-E559A6A7A2456D2D,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,audit,MR-AI-AF3986F78E3BE6E2,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,audittrail,MR-AI-100B9B230983A843,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,bea_cukai,MR-AI-06AF2041E9A50381,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,bumn,MR-AI-26F75E64B93C33E3,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,korupsi,MR-AI-3B8D30637F5B1DE0,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,pajak,MR-AI-B28267FB1EC05702,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,parpol,MR-AI-E306BC33841B4F6A,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,prog_daerah,MR-AI-DED853160D353AB5,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,prog_eksekutif,MR-AI-AEACCE9DCC488B26,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,prog_legislatif,MR-AI-0DB12FDAB8A38702,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,redflag,MR-AI-AA0F15AE6A1C871D,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,risknas,MR-AI-65533DF29609E0B7,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,sda,MR-AI-EB5901E7E1DC4565,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
2024,0/2024,AI_HUNTER_DRAFT,"Ortu Tak Kerja, Calon Mahasiswa Unej Dapat UKT Rp 6 Juta",,DRAFT_REVIEW_NEEDS_EVIDENCE,2026-07-17,https://nasional.tempo.co/read/2110336/ortu-tak-kerja-calon-mahasiswa-unej-dapat-ukt-rp-6-juta,,,,AUDIT_VALIDATE_PROMOTE,vendor,MR-AI-1F3CEB9CF2C00B72,Orang tua calon mahasiswa Universitas Jember tidak lagi bekerja setelah terkena PHK sejak Oktober 2024. Dapat UKT Kelompok Tinggi. Tempo,
